make,model,generation_label,name,interval_km,estimated_cost_min,estimated_cost_max
BMW,3-Series,F30,Engine oil & filter,12000,,
BMW,3-Series,F30,Spark plugs,60000,,
BMW,3-Series,F30,Brake fluid flush,24000,,
BMW,3-Series,F30,Cabin & engine air filter,24000,,
BMW,3-Series,F30,Transmission fluid (8-speed automatic),100000,,
BMW,3-Series,F30,Coolant flush,100000,,
BMW,3-Series,F30,Timing chain inspection,100000,,
Chevrolet,Silverado,K2XX,Engine oil & filter,12000,,
Chevrolet,Silverado,K2XX,Cabin & engine air filter,24000,,
Chevrolet,Silverado,K2XX,Brake fluid flush,48000,,
Chevrolet,Silverado,K2XX,Transmission fluid,100000,,
Chevrolet,Silverado,K2XX,Spark plugs,100000,,
Chevrolet,Silverado,K2XX,Transfer case fluid,80000,,
Chevrolet,Silverado,K2XX,Front & rear differential fluid,100000,,
Chevrolet,Silverado,K2XX,Coolant flush,150000,,
Ford,F-150,13th Gen,Engine oil & filter,12000,,
Ford,F-150,13th Gen,Cabin & engine air filter,24000,,
Ford,F-150,13th Gen,Brake fluid flush,48000,,
Ford,F-150,13th Gen,Transmission fluid (10-speed),100000,,
Ford,F-150,13th Gen,Transfer case fluid (4WD),80000,,
Ford,F-150,13th Gen,Spark plugs,160000,,
Ford,F-150,13th Gen,Coolant flush,160000,,
Ford,Escape,4th Gen,Engine oil & filter,12000,,
Ford,Escape,4th Gen,Cabin & engine air filter,24000,,
Ford,Escape,4th Gen,Brake fluid flush,48000,,
Ford,Escape,4th Gen,Transmission fluid,100000,,
Ford,Escape,4th Gen,Spark plugs,100000,,
Ford,Escape,4th Gen,Coolant flush,160000,,
Ford,Escape,4th Gen,AWD power transfer unit fluid,90000,,
Honda,Civic,10th Gen,Engine oil & filter,8000,,
Honda,Civic,10th Gen,Cabin & engine air filter,24000,,
Honda,Civic,10th Gen,Brake fluid flush,48000,,
Honda,Civic,10th Gen,Transmission fluid (CVT),100000,,
Honda,Civic,10th Gen,Spark plugs,100000,,
Honda,Civic,10th Gen,Coolant flush,120000,,
Honda,Civic,10th Gen,Timing chain inspection,160000,,
Honda,Civic,9th Gen,Engine oil & filter,8000,,
Honda,Civic,9th Gen,Cabin & engine air filter,24000,,
Honda,Civic,9th Gen,Brake fluid flush,48000,,
Honda,Civic,9th Gen,Automatic transmission fluid,100000,,
Honda,Civic,9th Gen,Spark plugs,100000,,
Honda,Civic,9th Gen,Timing belt / water pump,160000,,
Honda,Accord,10th Gen,Engine oil & filter,8000,,
Honda,Accord,10th Gen,Cabin & engine air filter,24000,,
Honda,Accord,10th Gen,Brake fluid flush,48000,,
Honda,Accord,10th Gen,Transmission fluid (CVT),100000,,
Honda,Accord,10th Gen,Spark plugs,100000,,
Honda,Accord,10th Gen,Coolant flush,120000,,
Honda,CR-V,5th Gen,Engine oil & filter,8000,,
Honda,CR-V,5th Gen,Cabin & engine air filter,24000,,
Honda,CR-V,5th Gen,Brake fluid flush,48000,,
Honda,CR-V,5th Gen,Transmission fluid (CVT),100000,,
Honda,CR-V,5th Gen,Spark plugs,100000,,
Honda,CR-V,5th Gen,Coolant flush,120000,,
Honda,CR-V,5th Gen,AWD rear differential fluid,90000,,
Hyundai,Elantra,6th Gen,Engine oil & filter,10000,,
Hyundai,Elantra,6th Gen,Cabin & engine air filter,24000,,
Hyundai,Elantra,6th Gen,Brake fluid flush,48000,,
Hyundai,Elantra,6th Gen,Transmission fluid,100000,,
Hyundai,Elantra,6th Gen,Spark plugs,100000,,
Hyundai,Elantra,6th Gen,Timing chain inspection,160000,,
Hyundai,Elantra,6th Gen,Coolant flush,150000,,
Hyundai,Tucson,3rd Gen,Engine oil & filter,10000,,
Hyundai,Tucson,3rd Gen,Cabin & engine air filter,24000,,
Hyundai,Tucson,3rd Gen,Brake fluid flush,48000,,
Hyundai,Tucson,3rd Gen,Transmission fluid,90000,,
Hyundai,Tucson,3rd Gen,Spark plugs,100000,,
Hyundai,Tucson,3rd Gen,Coolant flush,150000,,
Hyundai,Tucson,3rd Gen,AWD rear differential fluid,90000,,
Jeep,Grand Cherokee,WK2,Engine oil & filter,10000,,
Jeep,Grand Cherokee,WK2,Cabin & engine air filter,24000,,
Jeep,Grand Cherokee,WK2,Brake fluid flush,48000,,
Jeep,Grand Cherokee,WK2,Transmission fluid,100000,,
Jeep,Grand Cherokee,WK2,Spark plugs,100000,,
Jeep,Grand Cherokee,WK2,Coolant flush,150000,,
Jeep,Grand Cherokee,WK2,Air suspension inspection (if equipped),80000,,
Jeep,Grand Cherokee,WK2,Transfer case fluid,80000,,
Mazda,Mazda3,4th Gen,Engine oil & filter,8000,,
Mazda,Mazda3,4th Gen,Cabin & engine air filter,24000,,
Mazda,Mazda3,4th Gen,Brake fluid flush,48000,,
Mazda,Mazda3,4th Gen,Transmission fluid,100000,,
Mazda,Mazda3,4th Gen,Spark plugs,100000,,
Mazda,Mazda3,4th Gen,Coolant flush,150000,,
Mazda,CX-5,2nd Gen,Engine oil & filter,8000,,
Mazda,CX-5,2nd Gen,Cabin & engine air filter,24000,,
Mazda,CX-5,2nd Gen,Brake fluid flush,48000,,
Mazda,CX-5,2nd Gen,Transmission fluid,100000,,
Mazda,CX-5,2nd Gen,Spark plugs,100000,,
Mazda,CX-5,2nd Gen,Coolant flush,150000,,
Mazda,CX-5,2nd Gen,AWD rear differential fluid,90000,,
Nissan,Altima,5th Gen,Engine oil & filter,8000,,
Nissan,Altima,5th Gen,Cabin & engine air filter,24000,,
Nissan,Altima,5th Gen,Brake fluid flush,48000,,
Nissan,Altima,5th Gen,CVT fluid,60000,,
Nissan,Altima,5th Gen,Spark plugs,100000,,
Nissan,Altima,5th Gen,Coolant flush,120000,,
Nissan,Rogue,2nd Gen,Engine oil & filter,8000,,
Nissan,Rogue,2nd Gen,Cabin & engine air filter,24000,,
Nissan,Rogue,2nd Gen,Brake fluid flush,48000,,
Nissan,Rogue,2nd Gen,CVT fluid,60000,,
Nissan,Rogue,2nd Gen,Spark plugs,100000,,
Nissan,Rogue,2nd Gen,Coolant flush,120000,,
Nissan,Rogue,2nd Gen,AWD coupling fluid,90000,,
Subaru,Outback,5th Gen,Engine oil & filter,10000,,
Subaru,Outback,5th Gen,Cabin & engine air filter,24000,,
Subaru,Outback,5th Gen,Brake fluid flush,48000,,
Subaru,Outback,5th Gen,CVT fluid,100000,,
Subaru,Outback,5th Gen,Spark plugs,100000,,
Subaru,Outback,5th Gen,Coolant flush,150000,,
Subaru,Outback,5th Gen,AWD rear differential fluid,60000,,
Toyota,Corolla,12th Gen,Engine oil & filter,8000,,
Toyota,Corolla,12th Gen,Cabin & engine air filter,24000,,
Toyota,Corolla,12th Gen,Brake fluid flush,48000,,
Toyota,Corolla,12th Gen,Transmission fluid (CVT),100000,,
Toyota,Corolla,12th Gen,Spark plugs,100000,,
Toyota,Corolla,12th Gen,Coolant flush,160000,,
Toyota,Corolla,11th Gen,Engine oil & filter,8000,,
Toyota,Corolla,11th Gen,Cabin & engine air filter,24000,,
Toyota,Corolla,11th Gen,Brake fluid flush,48000,,
Toyota,Corolla,11th Gen,Transmission fluid (CVT),100000,,
Toyota,Corolla,11th Gen,Spark plugs,100000,,
Toyota,Corolla,11th Gen,Water pump inspection,150000,,
Toyota,Camry,8th Gen,Engine oil & filter,8000,,
Toyota,Camry,8th Gen,Cabin & engine air filter,24000,,
Toyota,Camry,8th Gen,Brake fluid flush,48000,,
Toyota,Camry,8th Gen,Transmission fluid,100000,,
Toyota,Camry,8th Gen,Spark plugs,100000,,
Toyota,Camry,8th Gen,Coolant flush,160000,,
Toyota,RAV4,5th Gen,Engine oil & filter,8000,,
Toyota,RAV4,5th Gen,Cabin & engine air filter,24000,,
Toyota,RAV4,5th Gen,Brake fluid flush,48000,,
Toyota,RAV4,5th Gen,Transmission fluid,100000,,
Toyota,RAV4,5th Gen,Spark plugs,100000,,
Toyota,RAV4,5th Gen,Coolant flush,160000,,
Toyota,RAV4,5th Gen,AWD transfer case fluid,90000,,
Volkswagen,Jetta,6th Gen,Engine oil & filter,10000,,
Volkswagen,Jetta,6th Gen,Cabin & engine air filter,24000,,
Volkswagen,Jetta,6th Gen,Brake fluid flush,48000,,
Volkswagen,Jetta,6th Gen,Transmission fluid (DSG/Automatic),80000,,
Volkswagen,Jetta,6th Gen,Spark plugs,100000,,
Volkswagen,Jetta,6th Gen,Timing chain inspection,120000,,
Volkswagen,Jetta,6th Gen,Coolant flush,120000,,
Volkswagen,Golf,7th Gen,Engine oil & filter,10000,,
Volkswagen,Golf,7th Gen,Cabin & engine air filter,24000,,
Volkswagen,Golf,7th Gen,Brake fluid flush,48000,,
Volkswagen,Golf,7th Gen,DSG transmission fluid,60000,,
Volkswagen,Golf,7th Gen,Spark plugs,100000,,
Volkswagen,Golf,7th Gen,Coolant flush,120000,,
Volkswagen,Golf,7th Gen,Intake carbon cleaning,100000,,
